Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
HONORIFIC_EN,"A title or form of address that precedes a person's name to show respect, courtesy, or professional status in English-speaking contexts.","This type captures formal titles and prefixes used before personal names in English language correspondence and formal documentation. The values represent established honorific terms including punctuation when applicable, following standard English linguistic and social conventions for respectful address.","This type captures formal titles and prefixes used before personal names in English language correspondence and formal documentation. The values represent established honorific terms including punctuation when applicable, following standard English linguistic and social conventions for respectful address.","A text field containing English honorific titles that typically follow established patterns for formal address including periods where appropriate. The format represents traditional and professional titles used in formal correspondence, official documents, and respectful communication contexts.","title_prefix: formal address designation preceding names","title_prefix: formal address designation preceding names",Mr.; Mrs.; Dr.,John; Smith; Title,Title; Honorific; Prefix,First Name; Last Name; Full Name
IDENTIFIER,"A unique identifier used to distinguish one entity from another within a system or dataset.","This type represents a unique alphanumeric code assigned to individual records, entities, or objects for identification purposes. The identifier can contain letters, numbers, and common symbols but must be unique within its context.","This type represents a unique alphanumeric code assigned to individual records, entities, or objects for identification purposes. The identifier can contain letters, numbers, and common symbols but must be unique within its context.","A unique string following a pattern that typically combines letters and numbers in various formats to ensure distinctiveness. The pattern generally allows alphanumeric characters with optional separators like underscores or hyphens, matching patterns like ^[A-Z0-9_-]+$.","record_key: unique alphanumeric code for entity identification","record_key: unique alphanumeric code for entity identification",ID123456; USER_001; REC-789012,John Smith; Description; 2022-01-01,ID; Identifier; Unique ID,Name; Description; Date
IDENTITY.AADHAAR_IN,"A 12-digit unique identity number issued by the Unique Identification Authority of India to residents of India.","This type captures the Aadhaar number, which is a 12-digit numerical identifier assigned to Indian residents by UIDAI. The number consists of exactly twelve digits with no letters, special characters, or separators in its basic form.","This type captures the Aadhaar number, which is a 12-digit numerical identifier assigned to Indian residents by UIDAI. The number consists of exactly twelve digits with no letters, special characters, or separators in its basic form.","A string of exactly 12 digits that follows the pattern ^\d{12}$ where each position must be a numerical digit from 0-9. The format may display with optional space separators in groups of four digits but the core pattern remains 12 consecutive digits.","indian_identity_code: 12-digit government-issued resident identification number","indian_identity_code: 12-digit government-issued resident identification number",1234 5678 9012; 9876 5432 1098; 5555 6666 7777,123456789012; AADHAAR123; Indian ID,Aadhaar Number; Aadhaar ID; UID,Name; Address; Phone Number
IDENTITY.BSN_NL,"The Dutch Burgerservicenummer (BSN) is a unique 9-digit personal identification number assigned to all Dutch residents.","This type identifies the BSN, a 9-digit citizen service number used in the Netherlands for government and administrative purposes. The number consists of exactly nine numerical digits without any letters, spaces, or special characters.","This type identifies the BSN, a 9-digit citizen service number used in the Netherlands for government and administrative purposes. The number consists of exactly nine numerical digits without any letters, spaces, or special characters.","A string representing a Dutch citizen service number that must contain exactly 9 digits following the pattern ^\d{9}$. The number passes a checksum validation algorithm and contains only numerical characters from 0-9.","dutch_citizen_number: 9-digit national identification code","dutch_citizen_number: 9-digit national identification code",123456782; 987654321; 111222333,1234567890; BSN123; Dutch ID,BSN; Burgerservicenummer; Citizen Number,Naam; Adres; Telefoon
IDENTITY.DUNS,"A unique 9-digit identifier assigned by Dun & Bradstreet to identify business entities worldwide for credit and business information purposes.","This type represents the DUNS number, a proprietary business identifier created by Dun & Bradstreet for tracking commercial entities globally. The identifier consists of exactly nine digits with no alphabetic characters, spaces, or punctuation marks.","This type represents the DUNS number, a proprietary business identifier created by Dun & Bradstreet for tracking commercial entities globally. The identifier consists of exactly nine digits with no alphabetic characters, spaces, or punctuation marks.","A business identification number that follows the exact pattern ^\d{9}$ consisting of nine consecutive numerical digits. The format is standardized internationally and contains only digits 0-9 with no separators or additional characters.","business_identifier: 9-digit commercial entity tracking code","business_identifier: 9-digit commercial entity tracking code",123456789; 987654321; 555666777,DUNS123456789; Business123; Company ID,DUNS Number; DUNS; D-U-N-S,Company Name; Industry; Revenue
IDENTITY.EIN_US,"A federal tax identification number assigned by the IRS to identify business entities operating in the United States.","This type captures the Employer Identification Number, a unique 9-digit federal tax ID assigned by the Internal Revenue Service to US businesses. The number is formatted with a hyphen separating the first two digits from the remaining seven digits.","This type captures the Employer Identification Number, a unique 9-digit federal tax ID assigned by the Internal Revenue Service to US businesses. The number is formatted with a hyphen separating the first two digits from the remaining seven digits.","A tax identification string that follows the pattern ^\d{2}-\d{7}$ where two digits are followed by a hyphen and then seven more digits. The format is standardized by the IRS and requires the hyphen separator between the second and third digits.","tax_id_number: 2-digit prefix with hyphen plus 7-digit employer code","tax_id_number: 2-digit prefix with hyphen plus 7-digit employer code",12-3456789; 98-7654321; 55-5666777,123456789; EIN123; Employer ID,EIN; Employer ID; Tax ID,Company Name; SSN; Employee Count
IDENTITY.INDIVIDUAL_NUMBER_JA,"Japan's My Number is a 12-digit individual identification number assigned to all residents for administrative efficiency across government services.","This type identifies the Japanese Individual Number system identifier, commonly called My Number, assigned to residents for social security and taxation purposes. The number consists of exactly twelve numerical digits without alphabetic characters or special symbols.","This type identifies the Japanese Individual Number system identifier, commonly called My Number, assigned to residents for social security and taxation purposes. The number consists of exactly twelve numerical digits without alphabetic characters or special symbols.","A personal identification number following the strict pattern ^\d{12}$ consisting of twelve consecutive digits from 0-9. The format is regulated by Japanese law and contains no separators, letters, or special characters in its basic form.","resident_id_code: 12-digit Japanese administrative identification number","resident_id_code: 12-digit Japanese administrative identification number",123456789012; 987654321098; 555666777888,12-3456789; JPN123; Japanese ID,マイナンバー; 個人番号; My Number,氏名; 住所; 電話番号
IDENTITY.NHS_UK,"A unique 10-digit identifier assigned to patients registered with the National Health Service in England and Wales.","This type represents the NHS number, a patient identifier used throughout the UK healthcare system for medical record tracking and service delivery. The number consists of ten digits and may be displayed with spaces for readability but contains only numerical characters.","This type represents the NHS number, a patient identifier used throughout the UK healthcare system for medical record tracking and service delivery. The number consists of ten digits and may be displayed with spaces for readability but contains only numerical characters.","A healthcare identifier that follows the pattern ^\d{10}$ consisting of exactly ten numerical digits. The format often displays with spaces in a 3-3-4 digit grouping for readability but the core pattern remains ten consecutive digits.","patient_id: 10-digit UK health service identification number","patient_id: 10-digit UK health service identification number",123 456 7890; 987 654 3210; 555 666 7778,1234567890; NHS123; Health ID,NHS Number; NHS ID; Health Number,Name; Address; Date of Birth
IDENTITY.NI_UK,"A unique identifier used in the UK for social security administration and employment record tracking. The format combines letters and digits in a specific pattern.","This type captures the UK National Insurance Number, used for social security and employment purposes throughout Britain. The identifier consists of two letters followed by six digits and ends with a single letter, with no spaces or separators in its canonical form.","This type captures the UK National Insurance Number, used for social security and employment purposes throughout Britain. The identifier consists of two letters followed by six digits and ends with a single letter, with no spaces or separators in its canonical form.","A social security identifier following the pattern ^[A-Z]{2}\d{6}[A-Z]$ where two uppercase letters are followed by six digits and one final letter. The format is standardized across the UK and contains exactly nine characters with no spaces or punctuation.","social_security_ref: 2 letters plus 6 digits plus 1 letter format","social_security_ref: 2 letters plus 6 digits plus 1 letter format",AB123456C; YZ987654D; QR555666E,123456789; NI123; Insurance123,NI Number; National Insurance; NINO,Name; Address; Employer
IDENTITY.NPI_US,"A unique 10-digit healthcare provider identification number assigned by the Centers for Medicare & Medicaid Services to healthcare providers in the United States.","This type identifies the National Provider Identifier, a standardized healthcare provider identifier mandated for use in US healthcare transactions. The number consists of exactly ten numerical digits with no alphabetic characters, spaces, or formatting symbols.","This type identifies the National Provider Identifier, a standardized healthcare provider identifier mandated for use in US healthcare transactions. The number consists of exactly ten numerical digits with no alphabetic characters, spaces, or formatting symbols.","A healthcare provider identifier that follows the exact pattern ^\d{10}$ consisting of ten consecutive numerical digits. The format is regulated by CMS and includes a built-in checksum algorithm for validation purposes.","provider_code: 10-digit US healthcare professional identifier","provider_code: 10-digit US healthcare professional identifier",1234567890; 9876543210; 5556667778,NPI1234567890; Provider123; Medical ID,NPI; Provider ID; NPI Number,Provider Name; Specialty; Address
IDENTITY.PERSONNUMMER_SE,"Sweden's personal identity number (personnummer) is a unique identifier for residents, incorporating birth date and individual sequence information.","This type represents the Swedish personal identity number, which encodes birth date information followed by a unique individual identifier. The number consists of ten digits where the first six represent YYMMDD birth date and the last four provide individual identification and gender information.","This type represents the Swedish personal identity number, which encodes birth date information followed by a unique individual identifier. The number consists of ten digits where the first six represent YYMMDD birth date and the last four provide individual identification and gender information.","A personal identifier following the pattern ^\d{10}$ where the first six digits represent birth date in YYMMDD format and the final four digits provide individual sequence numbering. The format may display with a hyphen separator after the sixth digit but the core pattern is ten consecutive digits.","person_number: birth date plus 4-digit individual sequence code","person_number: birth date plus 4-digit individual sequence code",198001011234; 199912311234; 200506151234,19800101-1234; Swedish123; Person ID,Personnummer; Personal ID; Swedish ID,Namn; Adress; Telefon
IDENTITY.SIN_CA,"Canada's Social Insurance Number is a 9-digit identifier used for employment, taxation, and government benefit administration.","This type captures the Canadian Social Insurance Number, a federal identifier required for work authorization and government services. The number consists of nine digits often formatted with spaces in groups of three digits each for readability purposes.","This type captures the Canadian Social Insurance Number, a federal identifier required for work authorization and government services. The number consists of nine digits often formatted with spaces in groups of three digits each for readability purposes.","A social insurance identifier following the pattern ^\d{9}$ consisting of exactly nine numerical digits. The format commonly displays with spaces in a XXX XXX XXX pattern but the underlying structure is nine consecutive digits with checksum validation.","insurance_number: 9-digit Canadian employment and benefits identifier","insurance_number: 9-digit Canadian employment and benefits identifier",123 456 789; 987 654 321; 555 666 777,123456789; SIN123; Canadian ID,SIN; Social Insurance Number; SIN Number,Name; Address; Employer
IDENTITY.SSN_CH,"Switzerland's AHV number is a unique 13-digit social security identifier used for pension, insurance, and administrative purposes.","This type identifies the Swiss AHV number, a social security identifier that combines a country code prefix with individual identification digits. The number uses a standardized format with dots as separators between digit groups and includes validation checksums.","This type identifies the Swiss AHV number, a social security identifier that combines a country code prefix with individual identification digits. The number uses a standardized format with dots as separators between digit groups and includes validation checksums.","A social security number following the pattern ^756\.\d{4}\.\d{4}\.\d{2}$ where 756 is the Swiss country code prefix followed by three groups of digits separated by dots. The format requires exactly 13 digits total with mandatory dot separators in the XXX.XXXX.XXXX.XX structure.","social_security_code: Swiss country prefix plus segmented digit groups","social_security_code: Swiss country prefix plus segmented digit groups",756.1234.5678.90; 756.9876.5432.10; 756.5556.6677.78,7561234567890; SSN123; Swiss ID,AHV Nummer; SSN; Sozialversicherungsnummer,Name; Adresse; Telefon
IDENTITY.SSN_FR,"France's INSEE number is a 15-digit social security identifier that encodes gender, birth year, month, location, and individual sequence information.","This type represents the French social security number, officially called the INSEE number, which incorporates demographic and geographic information. The identifier consists of fifteen digits encoding gender, birth year and month, birth location code, individual sequence number, and a validation key.","This type represents the French social security number, officially called the INSEE number, which incorporates demographic and geographic information. The identifier consists of fifteen digits encoding gender, birth year and month, birth location code, individual sequence number, and a validation key.","A social security identifier following the pattern ^[12]\d{14}$ where the first digit indicates gender and the remaining fourteen digits encode birth and location information. The format consists of exactly fifteen consecutive digits with embedded demographic data and includes a two-digit validation key at the end.","insee_code: 15-digit French social security with embedded demographics","insee_code: 15-digit French social security with embedded demographics",1234567890123; 2987654321098; 1555666777888,123-45-6789; French123; INSEE123,Numéro INSEE; Sécurité Sociale; INSEE,Nom; Adresse; Date de Naissance
IDENTITY.VAT_<COUNTRY>,"A Value Added Tax identification number used by businesses for tax registration and reporting across different countries.","This type captures VAT registration numbers, which are unique tax identifiers assigned to businesses by tax authorities for value-added tax purposes. The format and length vary significantly by country but generally consists of alphanumeric characters with possible country-specific prefixes or formatting rules.","This type captures VAT registration numbers, which are unique tax identifiers assigned to businesses by tax authorities for value-added tax purposes. The format and length vary significantly by country but generally consists of alphanumeric characters with possible country-specific prefixes or formatting rules.","A tax registration identifier that varies by country but typically follows patterns like ^[A-Z]{2}[A-Z0-9]+$ with country code prefixes or purely numeric sequences. The format depends on national tax authority requirements and may include letters, numbers, and specific formatting characters unique to each jurisdiction.","tax_registration: country-specific business value-added tax identifier","tax_registration: country-specific business value-added tax identifier",example1; example2; example3,counter_example1; counter_example2; counter_example3,VAT Number; Tax ID; VAT ID,Company Name; Revenue; Country
IMEI,"A unique 15-digit identifier assigned to every mobile device for tracking and identification purposes across cellular networks worldwide.","This type identifies the International Mobile Equipment Identity, a globally unique identifier assigned to mobile communication devices by manufacturers. The number consists of exactly fifteen digits that encode manufacturer information, model details, and individual device sequence data.","This type identifies the International Mobile Equipment Identity, a globally unique identifier assigned to mobile communication devices by manufacturers. The number consists of exactly fifteen digits that encode manufacturer information, model details, and individual device sequence data.","A device identifier following the strict pattern ^\d{15}$ consisting of fifteen consecutive numerical digits. The format includes embedded codes for Type Allocation Code, Final Assembly Code, and Serial Number with a check digit, all regulated by the GSMA.","device_serial: 15-digit mobile equipment tracking identifier","device_serial: 15-digit mobile equipment tracking identifier",123456789012345; 987654321098765; 555666777888999,IMEI123456789012345; Mobile123; Device ID,IMEI; Device IMEI; Phone IMEI,Phone Number; Model; Brand
INDUSTRY_CODE.NAICS,"A standardized 6-digit classification code used to categorize business establishments by their primary economic activity in North America.","This type represents NAICS codes, which are hierarchical industry classification numbers used for statistical and regulatory purposes across North America. The code consists of exactly six digits where each digit level provides increasingly specific industry categorization from sector to industry detail.","This type represents NAICS codes, which are hierarchical industry classification numbers used for statistical and regulatory purposes across North America. The code consists of exactly six digits where each digit level provides increasingly specific industry categorization from sector to industry detail.","An industry classification code following the pattern ^\d{6}$ consisting of exactly six numerical digits. The format represents a hierarchical structure where the first two digits identify the sector, and subsequent digits provide increasingly detailed industry subcategories.","business_category: 6-digit North American industry classification code","business_category: 6-digit North American industry classification code",541511; 722513; 238220,Technology; NAICS541511; Industry123,NAICS Code; Industry Code; NAICS,Industry Name; Business Type; Company Name
INDUSTRY_EN,"A descriptive name identifying the primary business sector or economic activity of an organization or establishment.","This type captures industry names as they are commonly expressed in English business terminology and classifications. The values represent broad economic sectors, specific industries, or business categories using standard commercial language and terminology.","This type captures industry names as they are commonly expressed in English business terminology and classifications. The values represent broad economic sectors, specific industries, or business categories using standard commercial language and terminology.","A text field containing industry names that typically match common business sector terminology and may follow patterns like proper case formatting. The format allows alphabetic characters, spaces, and common punctuation but excludes numerical codes or specialized formatting symbols.","business_sector: descriptive name of primary economic activity","business_sector: descriptive name of primary economic activity",Technology; Healthcare; Manufacturing,541511; Tech; Industry123,Industry; Industry Name; Business Sector,NAICS Code; Company Name; Revenue
IPADDRESS.IPV4,"A numerical label assigned to devices connected to computer networks using the Internet Protocol version 4 for identification and location addressing.","This type identifies IPv4 addresses, which are 32-bit numerical identifiers used to uniquely identify devices on IP networks. The address consists of four decimal numbers separated by dots, where each number ranges from 0 to 255 representing one octet of the address.","This type identifies IPv4 addresses, which are 32-bit numerical identifiers used to uniquely identify devices on IP networks. The address consists of four decimal numbers separated by dots, where each number ranges from 0 to 255 representing one octet of the address.","A network address following the pattern ^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$ where four decimal numbers between 0-255 are separated by dots. The format represents a dotted decimal notation with each octet constrained to valid IPv4 ranges and no leading zeros in octets.","network_address: four dot-separated numbers for device identification","network_address: four dot-separated numbers for device identification",192.168.1.1; 10.0.0.1; 172.16.0.1,192.168.1; 300.300.300.300; IP Address,IP Address; IPv4; IP,Domain Name; MAC Address; Port Number
IPADDRESS.IPV6,"A 128-bit network address identifier used in Internet Protocol version 6 to uniquely identify devices and provide significantly expanded addressing capacity.","This type represents IPv6 addresses, which are hexadecimal identifiers used for network device addressing in the modern Internet protocol. The address consists of eight groups of four hexadecimal digits separated by colons, with various shorthand notations allowed for compression.","This type represents IPv6 addresses, which are hexadecimal identifiers used for network device addressing in the modern Internet protocol. The address consists of eight groups of four hexadecimal digits separated by colons, with various shorthand notations allowed for compression.","A network identifier following patterns like ^[0-9a-fA-F:]+$ with eight groups of four hexadecimal digits separated by colons. The format allows compression using double colons for consecutive zero groups and supports various abbreviated notations while maintaining the 128-bit address space.","ipv6_address: colon-separated hexadecimal groups for extended addressing","ipv6_address: colon-separated hexadecimal groups for extended addressing",2001:0db8:85a3:0000:0000:8a2e:0370:7334; ::1; fe80::1,192.168.1.1; IPv6 Address; 2001:db8::,IPv6 Address; IPv6; IP Address,IPv4 Address; Domain Name; MAC Address
JOB_TITLE_EN,"A professional position or role designation that describes an individual's function, responsibilities, or occupation within an organization.","This type captures job titles and occupational designations as they appear in professional contexts, employment records, and organizational structures. The values represent standard professional roles, specialized positions, or functional titles using conventional workplace terminology.","This type captures job titles and occupational designations as they appear in professional contexts, employment records, and organizational structures. The values represent standard professional roles, specialized positions, or functional titles using conventional workplace terminology.","A text field containing professional titles that typically follow standard occupational naming conventions and may include hierarchical indicators or specialization terms. The format allows alphabetic characters, spaces, common professional abbreviations, and may follow patterns like title case formatting without numerical codes.","position_title: professional role or occupation designation","position_title: professional role or occupation designation",Software Engineer; Marketing Manager; Sales Representative,John Smith; Engineer123; Job,Job Title; Position; Occupation,Name; Company; Salary
LANGUAGE.ISO-639-1,"A standardized two-letter code used to represent languages according to the International Organization for Standardization ISO 639-1 standard.","This type identifies ISO 639-1 language codes, which are internationally standardized two-character alphabetic codes for language identification. The codes consist of exactly two lowercase letters derived from the language names and are used for internationalization and localization purposes.","This type identifies ISO 639-1 language codes, which are internationally standardized two-character alphabetic codes for language identification. The codes consist of exactly two lowercase letters derived from the language names and are used for internationalization and localization purposes.","A language identifier following the pattern ^[a-z]{2}$ consisting of exactly two lowercase alphabetic characters. The format is standardized by ISO and represents the most commonly used languages with officially assigned two-letter codes.","lang_code: 2-letter international language identifier","lang_code: 2-letter international language identifier",en; fr; de,English; eng; Language,Language Code; ISO Language; Lang Code,Language Name; Country; Three Letter Code
LANGUAGE.ISO-639-2,"A standardized three-letter code used to represent languages according to the International Organization for Standardization ISO 639-2 standard.","This type identifies ISO 639-2 language codes, which are internationally standardized three-character alphabetic codes providing more comprehensive language coverage than the two-letter standard. The codes consist of exactly three lowercase letters and include both bibliographic and terminologic variants for some languages.","This type identifies ISO 639-2 language codes, which are internationally standardized three-character alphabetic codes providing more comprehensive language coverage than the two-letter standard. The codes consist of exactly three lowercase letters and include both bibliographic and terminologic variants for some languages.","A language identifier following the pattern ^[a-z]{3}$ consisting of exactly three lowercase alphabetic characters. The format provides extended language coverage beyond the two-letter ISO standard and includes separate codes for bibliographic and terminology applications.","language_id: 3-letter extended international language code","language_id: 3-letter extended international language code",eng; fra; deu,en; English; Language,Language Code; ISO Language; Lang Code,Language Name; Country; Two Letter Code
LANGUAGE.TEXT_EN,"The full name of a language as it is commonly known and written in English, such as English, French, or German.","This type captures natural language names as they are commonly expressed in English text and international communication. The values represent complete language names using standard English terminology and conventional spelling without abbreviated forms or codes.","This type captures natural language names as they are commonly expressed in English text and international communication. The values represent complete language names using standard English terminology and conventional spelling without abbreviated forms or codes.","A text field containing full language names that follow standard English language naming conventions and typically use proper case formatting. The format consists of alphabetic characters and may include spaces for compound language names but excludes numerical codes or abbreviated forms.","spoken_language: full name of natural language in English","spoken_language: full name of natural language in English",English; French; German,en; eng; Language123,Language; Language Name; Spoken Language,Language Code; Country; Dialect
MACADDRESS,"A unique hardware identifier assigned to network interface controllers for communication within network segments at the data link layer.","This type identifies Media Access Control addresses, which are unique identifiers assigned to network hardware devices by manufacturers. The address consists of six groups of two hexadecimal digits separated by colons or hyphens, representing a 48-bit identifier for network interface cards.","This type identifies Media Access Control addresses, which are unique identifiers assigned to network hardware devices by manufacturers. The address consists of six groups of two hexadecimal digits separated by colons or hyphens, representing a 48-bit identifier for network interface cards.","A hardware identifier following the pattern ^[0-9A-Fa-f]{2}[:-][0-9A-Fa-f]{2}[:-][0-9A-Fa-f]{2}[:-][0-9A-Fa-f]{2}[:-][0-9A-Fa-f]{2}[:-][0-9A-Fa-f]{2}$ with six pairs of hexadecimal digits. The format uses consistent separators (colons or hyphens) between each pair of hexadecimal characters representing the 48-bit network hardware address.","hardware_address: 6 pairs of hex digits for network device identification","hardware_address: 6 pairs of hex digits for network device identification",00:1B:44:11:3A:B7; AA:BB:CC:DD:EE:FF; 12:34:56:78:9A:BC,00-1B-44-11-3A-B7; MAC Address; Network ID,MAC Address; Hardware Address; Network MAC,IP Address; Device Name; Network Name
MONTH.ABBR_<LOCALE>,"A shortened form of month names using locale-specific abbreviations typically consisting of three letters in the specified language and region.","This type captures abbreviated month names as they appear in different locales and language contexts for date formatting and display purposes. The values represent standardized short forms of month names, typically three characters long, following locale-specific conventions and linguistic rules.","This type captures abbreviated month names as they appear in different locales and language contexts for date formatting and display purposes. The values represent standardized short forms of month names, typically three characters long, following locale-specific conventions and linguistic rules.","A text field containing month abbreviations that typically follow the pattern ^[A-Za-z]{3}$ of three alphabetic characters. The format follows locale-specific conventions for month name shortening and may include periods or other punctuation depending on regional formatting standards.","month_short: 3-letter locale-specific month abbreviation","month_short: 3-letter locale-specific month abbreviation",example1; example2; example3,counter_example1; counter_example2; counter_example3,Month Abbr; Month; Month Short,Month Name; Day; Year
MONTH.DIGITS,"A numerical representation of calendar months using integers from 1 to 12, where 1 represents January and 12 represents December.","This type identifies numeric month values as they appear in date representations and calendar systems using integer notation. The values range from 1 to 12 corresponding to the twelve months of the Gregorian calendar, with consistent numerical mapping across systems.","This type identifies numeric month values as they appear in date representations and calendar systems using integer notation. The values range from 1 to 12 corresponding to the twelve months of the Gregorian calendar, with consistent numerical mapping across systems.","A numeric field following the pattern ^(1[0-2]|[1-9])$ representing months as integers between 1 and 12. The format uses standard calendar numbering where January equals 1 and December equals 12, with no leading zeros or additional formatting.","calendar_month: number from 1-12 representing month of year","calendar_month: number from 1-12 representing month of year",1; 6; 12,January; Jan; 13,Month; Month Number; Numeric Month,Month Name; Day; Year
MONTH.FULL_<LOCALE>,"The complete name of calendar months as they are written and spoken in specific locales and languages, following regional linguistic conventions.","This type captures full month names as they appear in different locales and language contexts for date display and internationalization purposes. The values represent complete month names using proper spelling, capitalization, and linguistic forms specific to the indicated locale and cultural context.","This type captures full month names as they appear in different locales and language contexts for date display and internationalization purposes. The values represent complete month names using proper spelling, capitalization, and linguistic forms specific to the indicated locale and cultural context.","A text field containing full month names that follow locale-specific linguistic patterns and typically use proper case formatting. The format consists of alphabetic characters appropriate to the specified language and may include diacritical marks or special characters based on linguistic requirements.","full_month_name: complete month designation in specified language","full_month_name: complete month designation in specified language",example1; example2; example3,counter_example1; counter_example2; counter_example3,Month Name; Month; Full Month,Month Number; Day; Season
NAME.FIRST,"A person's given name, typically assigned at birth and used as the primary personal identifier in most cultures and naming conventions.","This type captures individual given names as they appear in personal identification, records, and formal documentation across different cultures. The values represent first names using standard spelling and formatting conventions without including middle names, surnames, or titles.","This type captures individual given names as they appear in personal identification, records, and formal documentation across different cultures. The values represent first names using standard spelling and formatting conventions without including middle names, surnames, or titles.","A text field containing personal given names that typically follow proper name formatting conventions and use alphabetic characters with possible apostrophes or hyphens. The format allows international characters and diacritical marks but excludes numerical digits, titles, or multiple name components.","given_name: primary personal identifier assigned at birth","given_name: primary personal identifier assigned at birth",John; Maria; Ahmed,Smith; John Smith; Mr. John,First Name; Given Name; Forename,Last Name; Full Name; Middle Name
NAME.FIRST_LAST,"A complete personal name combining first and last names in the conventional Western format with a space separator.","This type represents full personal names formatted in the first name followed by last name order, which is common in Western naming conventions. The values combine given names and family names separated by a single space without including middle names, titles, or additional name components.","This type represents full personal names formatted in the first name followed by last name order, which is common in Western naming conventions. The values combine given names and family names separated by a single space without including middle names, titles, or additional name components.","A text field containing complete names that follow the pattern ^[A-Za-z'-]+ [A-Za-z'-]+$ with first and last names separated by a single space. The format allows alphabetic characters, apostrophes, and hyphens in both name components but excludes numerical digits, titles, or multiple middle names.","full_name: first and family name combined with space","full_name: first and family name combined with space",John Smith; Maria Garcia; Ahmed Hassan,"John; Smith; Smith, John",Full Name; Name; Person Name,First Name; Last Name; Email Address
NAME.LAST,"A family name or surname that identifies the family lineage and is typically shared among family members and passed down through generations.","This type captures family names or surnames as they appear in personal identification and formal documentation across different cultures. The values represent last names using standard spelling and formatting conventions without including given names, middle names, or honorific titles.","This type captures family names or surnames as they appear in personal identification and formal documentation across different cultures. The values represent last names using standard spelling and formatting conventions without including given names, middle names, or honorific titles.","A text field containing family names that typically follow proper name formatting conventions and use alphabetic characters with possible apostrophes, hyphens, or spaces for compound surnames. The format allows international characters and diacritical marks but excludes numerical digits, titles, or given name components.","family_name: inherited surname identifying family lineage","family_name: inherited surname identifying family lineage",Smith; Garcia; Johnson,John; John Smith; Mr.,Last Name; Surname; Family Name,First Name; Full Name; Middle Name
NAME.LAST_FIRST,"A complete personal name formatted with the family name first, followed by a comma and space, then the given name.","This type represents full personal names in the formal last name, first name format commonly used in official documents, directories, and alphabetical listings. The values combine family names and given names with a comma and space separator in the surname-first ordering convention.","This type represents full personal names in the formal last name, first name format commonly used in official documents, directories, and alphabetical listings. The values combine family names and given names with a comma and space separator in the surname-first ordering convention.","A text field containing complete names that follow the pattern ^[A-Za-z'-]+, [A-Za-z'-]+$ with last name first, then comma-space separator, followed by first name. The format allows alphabetic characters, apostrophes, and hyphens in both name components with mandatory comma-space formatting between surnames and given names.","formal_name: family name first with comma separator format","formal_name: family name first with comma separator format","Smith, John; Garcia, Maria; Johnson, David","John Smith; Smith; John, Smith",Full Name; Name; Last First Name,First Name; Last Name; Email Address
NAME.MIDDLE,"A secondary given name positioned between the first name and surname, often honoring family members or cultural traditions.","This type captures middle names as they appear in personal identification and formal documentation between first and last names. The values represent additional given names using standard spelling conventions without including first names, surnames, titles, or middle initials.","This type captures middle names as they appear in personal identification and formal documentation between first and last names. The values represent additional given names using standard spelling conventions without including first names, surnames, titles, or middle initials.","A text field containing middle names that follow proper name formatting conventions and consist of alphabetic characters with possible apostrophes or hyphens. The format allows international characters and diacritical marks representing full middle names but excludes abbreviated forms, initials, or numerical characters.","middle_given_name: secondary name between first and family names","middle_given_name: secondary name between first and family names",Michael; Anne; Lee,M; M.; John Michael Smith,Middle Name; Second Name; Middle,First Name; Last Name; Full Name
NAME.MIDDLE_INITIAL,"A single letter representing the first character of a person's middle name, typically followed by a period in formal contexts.","This type captures middle name initials as they appear in abbreviated personal name formats and formal documentation. The values represent single alphabetic characters, often followed by a period, that abbreviate the full middle name for space-efficient name display.","This type captures middle name initials as they appear in abbreviated personal name formats and formal documentation. The values represent single alphabetic characters, often followed by a period, that abbreviate the full middle name for space-efficient name display.","A text field containing middle initials that follow the pattern ^[A-Za-z]\.?$ consisting of a single alphabetic character optionally followed by a period. The format represents abbreviated middle names using standard initial formatting conventions with optional punctuation.","middle_initial: single letter abbreviation of middle name","middle_initial: single letter abbreviation of middle name",M.; A.; L.,Michael; M; John M Smith,Middle Initial; Middle; Initial,First Name; Middle Name; Full Name
NAME.SUFFIX,"A generational or honorific designation that follows a person's name to indicate family lineage, academic achievement, or social status.","This type captures name suffixes that appear after personal names to denote generational relationships, professional qualifications, or honorific designations. The values represent standard suffix abbreviations and designations used in formal naming conventions without including the preceding personal names.","This type captures name suffixes that appear after personal names to denote generational relationships, professional qualifications, or honorific designations. The values represent standard suffix abbreviations and designations used in formal naming conventions without including the preceding personal names.","A text field containing name suffixes that typically follow patterns like ^(Jr|Sr|[IVX]+|\d+(st|nd|rd|th))\.?$ representing generational or honorific designations. The format includes standard abbreviations, Roman numerals, or ordinal numbers with optional periods following conventional suffix formatting rules.","name_extension: generational or honorific designation after surname","name_extension: generational or honorific designation after surname",Jr.; Sr.; III,Junior; 3rd; John,Name Suffix; Suffix; Generation,First Name; Last Name; Full Name
